"state","county","Obama","Romney","winner","total","margin","turnout"
"IL","Hancock",39.4,58.5,"Romney",8056,19.1,2.1
"IL","Hardin",31.8,65.9,"Romney",2277,34.1,2.3
"IL","Henderson",55.5,43.2,"Obama",3515,12.3,1.3
"IL","Henry",50.7,47.6,"Obama",23880,3.1,1.7
"IL","Iroquois",26.7,71.4,"Romney",12523,44.7,1.89999999999999
"IL","Jackson",53.4,43.1,"Obama",20436,10.3,3.5
"IL","Jasper",28.5,69.7,"Romney",4945,41.2,1.8
"IL","Jefferson",37.3,60.1,"Romney",15885,22.8,2.6
"IL","Jersey",36.8,60.7,"Romney",9688,23.9,2.5
"IL","JoDaviess",49.6,48.5,"Obama",11189,1.1,1.9
"IL","Johnson",27.7,69.9,"Romney",5530,42.2,2.39999999999999
"IL","Kane",49.6,48.7,"Obama",180622,0.899999999999999,1.7
"IL","Kankakee",47.5,50.9,"Romney",44689,3.4,1.6
"IL","Kendall",47.1,51.2,"Romney",44295,4.1,1.7
"IL","Knox",57.7,40.6,"Obama",22126,17.1,1.7
